,,,constant,vol,curve_spread
Communication Services,10Y,HY,1.202375745282097,0.1505750460483362,0.6807602244165931
Communication Services,10Y,IG,1.3950433108598779,-0.014715543243085178,0.48299750350302134
Communication Services,10Y,IG HVOL,10.787778809922003,-2.362879595040793,11.101444612684524
Communication Services,3Y,HY,2.1626857105794937,0.011090109271446286,-2.2295375760541383
Communication Services,3Y,IG,2.4135327297046225,-0.18932045323585162,-0.9753426500265133
Communication Services,3Y,IG HVOL,2.728893086018832,-0.0007628350877644796,-0.008392313248649863
Communication Services,5Y,HY,1.7460562815188188,0.3478512244956734,-0.5898725958261983
Communication Services,5Y,IG,0.4631181481633852,0.06007295606779499,-0.08289960181327985
Communication Services,5Y,IG HVOL,8.082825452153774,-1.6737516481741446,6.303974823224457
Communication Services,7Y,HY,0.9882555445789117,0.2481588127789061,0.651509215871875
Communication Services,7Y,IG,2.7635528491669548,-0.25335505252654744,-0.9170629690565854
Communication Services,7Y,IG HVOL,6.317090120986515,-0.014336823614816252,-0.19552496910180217
Consumer Discretionary,10Y,HY,1.5306123558184137,0.009294736935989888,0.535285200034081
Consumer Discretionary,10Y,IG,1.4278735717725648,-0.0037668797501879915,0.4743299231897605
Consumer Discretionary,10Y,IG HVOL,8.926463446894271,-0.2915094238590281,12.264289322886357
Consumer Discretionary,3Y,HY,1.7880810789209782,0.01824649897923746,-2.0996547555456253
Consumer Discretionary,3Y,IG,2.0832004960603245,-0.014480080589604124,-0.9104753971072062
Consumer Discretionary,3Y,IG HVOL,2.7242258895700293,0.0001650214820471778,-0.020593968206105373
Consumer Discretionary,5Y,HY,1.9490503771705687,0.045926417587346675,-0.7301667973950097
Consumer Discretionary,5Y,IG,0.5088625352662739,0.0074606824652328945,-0.11089623310957865
Consumer Discretionary,5Y,IG HVOL,6.614836645501387,-0.19990725502300247,7.180426999280762
Consumer Discretionary,7Y,HY,1.3272855703861468,0.024200254126376008,0.47642733352760985
Consumer Discretionary,7Y,IG,2.320089045996099,-0.019288698802703435,-0.8244974595124438
Consumer Discretionary,7Y,IG HVOL,6.294425304443362,-0.0009666104901309425,-0.21553263124773636
Consumer Staples,10Y,HY,0.899339198448733,0.08065516333264257,0.904999359504466
Consumer Staples,10Y,IG,1.3661842534153417,-0.0022832640686399966,0.49191407128266107
Consumer Staples,10Y,IG HVOL,6.058890356385926,-0.35659401529179013,12.563198696912913
Consumer Staples,3Y,HY,2.021819623836209,0.01729155807321192,-2.1505170119011554
Consumer Staples,3Y,IG,2.1769185044356427,-0.039141519089688256,-1.1824190075394965
Consumer Staples,3Y,IG HVOL,2.7227366857256268,0.0007429375780427828,-0.020930130306159977
Consumer Staples,5Y,HY,1.622779041669278,0.13109722860691608,-0.37596044215413416
Consumer Staples,5Y,IG,0.47340261928885197,0.019616832113303725,-0.06260530207686918
Consumer Staples,5Y,IG HVOL,4.920775485605055,-0.27042880265794605,7.2375603055166975
Consumer Staples,7Y,HY,0.7675072095619283,0.10623610208926293,0.8534265520144032
Consumer Staples,7Y,IG,2.5649596542535793,-0.06390387970198465,-1.2138068990510225
Consumer Staples,7Y,IG HVOL,6.247243851152587,0.005709618071169223,-0.33310420356500714
Energy,10Y,HY,1.5593826111481113,0.01279184308010905,0.5089143334365762
Energy,10Y,IG,1.3711559950920953,-0.0020222362398892094,0.4968921208280867
Energy,10Y,IG HVOL,8.46967062001741,-0.43448001722466206,13.040841092736773
Energy,3Y,HY,1.5977188966507714,0.04243364066029817,-2.086369124561692
Energy,3Y,IG,2.066404804139807,-0.023137517568808913,-0.7469946844335486
Energy,3Y,IG HVOL,2.729535559287436,-0.0002451238759305467,-0.019342903664394395
Energy,5Y,HY,2.0516979093097016,0.06597862368728445,-0.8500557421769728
Energy,5Y,IG,0.536285206339348,0.00996391828846649,-0.13320455750166899
Energy,5Y,IG HVOL,6.376176924378612,-0.3032101788765339,7.694093057444118
Energy,7Y,HY,1.3235891475361647,0.038818969329943706,0.4310424270291874
Energy,7Y,IG,2.3653362267694145,-0.036003380656624916,-0.5549421485073195
Energy,7Y,IG HVOL,6.3000045394725275,-0.0019306340735536429,-0.32228859418833
Financials,10Y,HY,1.1159646183075533,0.05213050158624034,0.8074413480671668
Financials,10Y,IG,1.4372174946077545,-0.007904816456100375,0.45193493066272905
Financials,10Y,IG HVOL,7.387855765583971,-0.4214318135897191,11.738503235636124
Financials,3Y,HY,1.8399702574520558,0.03019628294669981,-2.0449851807482173
Financials,3Y,IG,2.130064807199821,-0.030969221965932277,-1.0617174185031895
Financials,3Y,IG HVOL,2.729836770044334,-0.0003958342085545255,-0.00299607587254469
Financials,5Y,HY,1.6298204117723287,0.1134819945563359,-0.3434067378509166
Financials,5Y,IG,0.4846533803913829,0.01613139064306582,-0.06338213521524373
Financials,5Y,IG HVOL,5.66769637105749,-0.2979595371096156,6.7590574146954125
Financials,7Y,HY,0.9380296893286473,0.07818540719320374,0.796290287193802
Financials,7Y,IG,2.4254578228945913,-0.04492525773142335,-1.0210305809261444
Financials,7Y,IG HVOL,6.310517582874349,-0.004201865791885445,-0.1685935380366388
Health Care,10Y,HY,0.9264081602835084,0.035758443616281915,0.7796460844780349
Health Care,10Y,IG,1.416012511438,-0.003231431176314879,0.47567985701732496
Health Care,10Y,IG HVOL,7.821919795981515,-0.2402145799726979,12.358334776203327
Health Care,3Y,HY,1.8920767990290295,0.013611446076845387,-2.1243918347960373
Health Care,3Y,IG,2.1787624062303212,-0.01849045027937325,-1.0287396263976416
Health Care,3Y,IG HVOL,2.729863675352247,-0.000207673075206455,-0.0037089458057888436
Health Care,5Y,HY,1.536833886919437,0.0638214044711015,-0.5289014497391189
Health Care,5Y,IG,0.467326804419211,0.009252379507014097,-0.08814359271489632
Health Care,5Y,IG HVOL,6.045444915549479,-0.17292193310806625,7.16849387333665
Health Care,7Y,HY,0.7550576037224843,0.049199024436821844,0.7221771570827556
Health Care,7Y,IG,2.5447706965186763,-0.029143137325710243,-0.9637306396759397
Health Care,7Y,IG HVOL,6.304311061088999,-0.0017549268069519952,-0.19433251128623574
Industrials,10Y,HY,1.6400215839484562,0.00588833159064311,0.49594973715531476
Industrials,10Y,IG,1.328955655801165,0.0007752742190559602,0.5091050696848497
Industrials,10Y,IG HVOL,9.45832505643589,-0.41401674226513097,12.120835811152277
Industrials,3Y,HY,1.9084654878455354,0.01702772169329438,-2.144299718546372
Industrials,3Y,IG,2.313751116510632,-0.033230303247700106,-0.8239071175331953
Industrials,3Y,IG HVOL,2.7268290553808967,3.3174499067673002e-06,-0.012116548003673788
Industrials,5Y,HY,2.00638612505978,0.057090327786126334,-0.7577616846603648
Industrials,5Y,IG,0.5341868313949225,0.008346786459191497,-0.1209037817641794
Industrials,5Y,IG HVOL,7.148839251098903,-0.2937176073132462,7.023381906497828
Industrials,7Y,HY,1.3505918409688225,0.030477046597438585,0.4604129421654496
Industrials,7Y,IG,2.6462504862573795,-0.045393482653695694,-0.7146367887570658
Industrials,7Y,IG HVOL,6.311987870848838,-0.0030725874354098903,-0.25287801819885924
Information Technology,10Y,HY,1.671550413594515,0.001832948090110829,0.5051594916185526
Information Technology,10Y,IG,1.373554809447766,-0.000816013468038636,0.4847710010184103
Information Technology,10Y,IG HVOL,14.890587536540636,-0.32910927419075225,6.66290694371005
Information Technology,3Y,HY,1.5560879801102638,0.016895290181225552,-1.8375231281362665
Information Technology,3Y,IG,2.6092660514319848,-0.022468550704905575,-1.2149098461033163
Information Technology,3Y,IG HVOL,2.717402122891879,0.0002992306886894676,-0.015377240675768178
Information Technology,5Y,HY,1.319922835327076,0.04370702354609937,-0.041833051701774565
Information Technology,5Y,IG,0.4541964686116112,0.005857544304099378,-0.02910002714213853
Information Technology,5Y,IG HVOL,10.779221289476832,-0.22763749126516666,3.292270939419377
Information Technology,7Y,HY,1.1138136660872207,0.01994645810279424,0.7630958659135298
Information Technology,7Y,IG,3.0151015969696857,-0.029773033079576357,-1.2354669944757883
Information Technology,7Y,IG HVOL,6.284637616850695,-0.0001792723176771288,-0.2633057975366295
Materials,10Y,HY,1.817913919139566,-0.009199368444339093,0.44788451499273557
Materials,10Y,IG,1.393757451827954,-0.0062039098146173125,0.49572733460317775
Materials,10Y,IG HVOL,9.175234469392656,-0.8310681682036871,13.475952201455529
Materials,3Y,HY,1.6710339933994256,0.06411253385065913,-2.1552102436084146
Materials,3Y,IG,1.968597863190371,-0.0263002083676666,-0.8084725503454477
Materials,3Y,IG HVOL,2.7281817202870906,-0.00018627850425141645,-0.011930648552183953
Materials,5Y,HY,2.292647000062482,0.08436879316514845,-0.9787218310236117
Materials,5Y,IG,0.5822584266661419,0.01158458985645788,-0.15426835800199917
Materials,5Y,IG HVOL,6.722294477625333,-0.5622786928489458,8.021674098739387
Materials,7Y,HY,1.5946504808069772,0.034048215417328886,0.3279163695499466
Materials,7Y,IG,2.143361181756593,-0.03183865628931265,-0.7175749722918412
Materials,7Y,IG HVOL,6.310222232991741,-0.004420531248872012,-0.2611732295959719
Real Estate,10Y,HY,1.2658953867641973,0.1011708864119758,0.7426226580663401
Real Estate,10Y,IG,1.3280179612515923,0.003045253918888876,0.5129674995119439
Real Estate,10Y,IG HVOL,9.052280492540305,-1.4226030410867179,10.49409533175365
Real Estate,3Y,HY,2.283571358219088,-0.01725952054739094,-2.2937983979210546
Real Estate,3Y,IG,2.4098695375345693,-0.1397675132343951,-1.1245632424181864
Real Estate,3Y,IG HVOL,2.724371829763042,0.0008694502433672126,-0.013928827459555926
Real Estate,5Y,HY,2.0450011849965524,0.20135447340036067,-0.5370955620924605
Real Estate,5Y,IG,0.5301308985316011,0.03150165454824161,-0.08289649636402455
Real Estate,5Y,IG HVOL,6.962258345590814,-1.0306442852553868,5.807553750110974
Real Estate,7Y,HY,1.2046179909778736,0.14299792964250574,0.6710358604325352
Real Estate,7Y,IG,2.765001158038523,-0.18856767009639974,-1.125669011363927
Real Estate,7Y,IG HVOL,6.250193975994519,0.010035796740631375,-0.2863403144695873
Utilities,10Y,HY,1.2073980787535867,0.11931321142931024,0.5249339900749856
Utilities,10Y,IG,1.2478890233579456,0.021092507039191872,0.5158116237133842
Utilities,10Y,IG HVOL,3.80094220830331,-0.3324027630337029,14.405802967223766
Utilities,3Y,HY,1.955986274324597,0.055030318011154315,-2.216186216438794
Utilities,3Y,IG,2.3043701335460764,-0.11436092344491365,-1.2278303009032392
Utilities,3Y,IG HVOL,2.72120070995009,0.001572815557699364,0.005551553360167105
Utilities,5Y,HY,2.2595381207128833,0.16355198144080346,-1.0100317014455737
Utilities,5Y,IG,0.5573282976736277,0.02700929820961562,-0.15612338313378726
Utilities,5Y,IG HVOL,3.3956725832543615,-0.29373217062969276,8.610636726560395
Utilities,7Y,HY,1.2456626433170024,0.1409933912144372,0.34577112114466746
Utilities,7Y,IG,2.775963164735231,-0.18755296599494842,-1.2866816970703296
Utilities,7Y,IG HVOL,6.226313130019014,0.01462168281611742,-0.10114014577284713
